from,to,text,time_start,time_end,comment
DAL1004,LCE-1,understand cleared to land three one right delta ten oh four,1371.21,1373.84,
LCE-1,ASA466,asea four six six cross runway three five right and three five left contact ground point six five when off both,1385.92,1390.30,
ASA466,LCE-1,cross three five ah right and three five left asea four six six,1390.69,1394.01,
LCE-1,DAL309,delta three oh nine cross three five left contact ground point six five when off,1394.48,1397.55,
DAL309,LCE-1,delta three oh nine cleared to cross three five left ground the other side,1398.79,1401.83,
LCE-1,ASA408,asea four oh eight hold short of three five right stay on this frequency,1419.15,1421.98,
ASA408,LCE-1,asea four oh eight hold short of three five right,1422.38,1423.93,
DAL1037,LCE-1,tower delta ten thirty seven tuffo,1424.63,1427.06,
LCE-1,DAL1115,delta eleven fifteen you're in sight change to cleared to land runway three five left // delta eleven fifteen tower change to cleared to land runway three five left,1427.28,1438.77,
DAL1115,LCE-1,ah understand three five left delta eleven fifteen roger,1439.02,1441.97,
LCE-1,DAL1115,thank you,1442.22,1442.66,
LCE-1,ASA904,asea nine oh four regional tower you now number one for three five right wind three three zero one zero cleared to land runway three five right,1444.21,1449.07,
ASA904,LCE-1,tower good afternoon asea nine zero four we're ah coming up on the marker three five right,1451.66,1456.72,
LCE-1,ASA904,asea nine zero four regional tower roger traffic ah you're now number one for three five right traffic ahead is going to the inboard wind three three zero at one zero cleared to land runway three five right,1457.32,1465.02,
ASA904,LCE-1,cleared to land three five right asea nine zero four,1465.70,1468.04,
LCE-1,ASA952,asea nine fifty two regional tower traffic now one mile final wind three three at one zero cleared to land runway three one right,1469.29,1474.20,
DAL721,LCE-1,delta seven twenty one is two from the marker three five right,1480.54,1483.12,
LCE-1,DAL1037,delta ten thirty seven regional tower following a bandeiranti four and a half ah three and a half ahead wind three three zero at one zero cleared to land runway three five right,1483.69,1489.42,
DAL721,LCE-1,cleared to land three five right delta seven twenty one,1489.68,1492.05,
LCE-1,DAL1037,ah that was for delta ten thirty seven delta ten thirty seven you up,1492.89,1496.17,
DAL1037,LCE-1,yes sir cleared to land delta ten thirty seven,1496.37,1498.62,
LCE-1,DAL721,delta seven twenty one regional tower you're traffic five ahead wind three three zero at one zero cleared to land runway three five right,1498.83,1504.55,
DAL721,LCE-1,all right sir we are cleared to land delta seven twenty one,1505.53,1507.95,
LCE-1,DAL327,delta three twenty seven hold short of three five left,1508.26,1510.48,
DAL327,LCE-1,delta three twenty seven holding short,1510.59,1512.07,
LCE-1,ASA408,asea four oh eight cross three five right hold short of three five left,1512.37,1514.92,
ASA408,LCE-1,four zero eight,1515.13,1515.78,
LCE-1,DAL1037,delta ten thirty seven reduce speed ten knots,1522.98,1525.20,
DAL1037,LCE-1,ten thirty seven reducing ten,1525.88,1527.30,
LCE-1,ASA445,asea four forty five regional tower runway ah three five left taxi into position and hold,1530.88,1534.66,
ASA445,LCE-1,position and hold three five left asea four forty five,1534.80,1537.60,
ASA952,LCE-1,asea nine fifty two is for ah three one right,1550.92,1553.11,
LCE-1,DAL1115,delta eleven fifteen contact ground point six five,1553.18,1555.61,
DAL1115,LCE-1,roger,1555.93,1556.40,
LCE-1,ASA445,asea four forty five runway three five left cleared for takeoff,1557.30,1560.38,
ASA445,LCE-1,cleared to go three five left asea four forty five,1561.49,1564.18,
LCE-1,DAL1004,delta ten oh four hold short of runway three five right this frequency,1564.41,1566.69,
DAL1004,LCE-1,hold short with you delta ten oh four,1567.11,1569.01,
DAL179,LCE-1,delta one seventy nine heavy is at mandy for thirty one right,1570.57,1573.38,
LCE-1,DAL179,delta one seventy nine heavy regional tower traffic on two and a half mile final cleared to land runway three one right wind three three zero at one zero,1573.45,1578.43,
DAL179,LCE-1,one seventy nine,1578.90,1579.95,
LCE-1,ASA952,asea nine fifty two you up,1589.72,1591.11,
LCE-1,ASA952,asea nine fifty two are you up,1593.19,1594.36,
ASA952,LCE-1,that's affirmative,1594.40,1595.13,
LCE-1,ASA952,asea nine fifty two cleared to land runway three one right and the wind is three three zero at one zero,1595.15,1598.76,
ASA952,LCE-1,cleared to land three one right,1598.88,1599.84,
LCE-1,DAL327,delta three twenty seven cross runway three five left then go to ground point six five,1600.88,1605.98,
DAL327,LCE-1,delta three twenty seven we'll cross three five left,1606.42,1608.26,
LCE-1,ASA408,asea four oh eight cross runway three five left go to ground point six five,1609.37,1612.55,
ASA408,LCE-1,four zero eight,1612.99,1613.76,
LCE-1,ASA904,and asea nine oh four turn left first high speed cross runway three five left at twenty seven then go to ground point six five,1643.64,1647.95,
ASA904,LCE-1,all right we'll take the first high speed cross runway three five left point six five asea nine oh four you have a good day,1648.82,1654.46,
LCE-1,ASA445,asea four forty five contact departure good day,1654.72,1656.58,
ASA445,LCE-1,go to departure asea four forty five good day,1656.96,1658.96,
AAL597,LCE-1,regional tower american five ninety seven eight d m e three five right,1664.37,1666.97,
LCE-1,AAL597,american five ninety seven regional tower cleared to land runway three five right and the wind is three four zero at one zero,1667.64,1671.99,
AAL597,LCE-1,okay cleared to land three five right american five ninety seven,1672.69,1675.35,
LCE-1,ASA952,and asea nine fifty two turn left at the high speed hold short of runway three five right this frequency,1682.59,1686.01,
ASA952,LCE-1,asea nine fifty two roger,1686.43,1688.04,
LCE-1,AAL442,american four forty two regional tower cleared to land runway three five right and the wind three four zero at one zero report field in sight,1696.11,1700.70,
AAL442,LCE-1,four four two,1700.89,1701.69,
ASA402,LCE-1,asea four oh two at three one right,1702.90,1704.92,
LCE-1,DAL1004,delta ten oh four cross runway three five right cross runway three five left then go to ground point six five,1705.06,1709.70,
DAL1004,LCE-1,cross em all the way to the ground side sixty five delta ten oh four,1709.98,1713.77,
LCE-1,DAL1037,okay delta ten thirty seven turn left next high speed cross runway three five left at twenty three then go to ground point six five,1713.88,1718.55,
DAL1037,LCE-1,ten thirty seven cleared to cross on the left ground point six five,1719.09,1721.89,
LCE-1,ASA402,asea four oh two i think was that called cleared to land runway three one right caution wake turbulence you're following a heavy seven six seven on short final wind three four zero at one zero,1721.91,1728.18,
ASA402,LCE-1,cleared to land three one right asea four oh two,1728.47,1730.28,
DAL169,LCE-1,dallas tower this is delta one sixty nine on long approach,1775.17,1778.07,
LCE-1,DAL169,delta one sixty nine regional tower cleared to land runway three five right and the wind three four zero at one zero,1778.36,1781.88,
DAL169,LCE-1,cleared to land three five right delta one sixty nine,1783.00,1784.81,
LCE-1,ASA952,asea nine fifty two cross runway three five right cross runway three five left then go to ground point six five,1785.09,1789.07,
ASA952,LCE-1,cross the right and left sixty five asea nine fifty two,1789.89,1792.41,
LCE-1,DAL721,delta seven twenty one turn left next high speed cross runway three five left then go to ground point six five,1792.61,1796.59,
DAL721,LCE-1,okay ah cross three five left for ah delta seven twenty one ground the other side,1798.14,1801.50,
LCE-1,DAL721,affirmative,1802.13,1802.98,
LCE-1,DAL179,delta's one seventy nine heavy hold short of runway three five right this frequency,1803.02,1806.81,
DAL179,LCE-1,hold short of three five right delta one seventy nine heavy,1807.13,1809.27,
UNK,UNK,unintelligible,1811.00,1812.25,
AAL442,LCE-1,and american four four two has got the runway,1854.40,1856.43,
LCE-1,AAL442,thank you,1856.96,1857.38,
ASA335,LCE-1,regional tower asea three thirty five i l s three one right,1858.30,1861.06,
LCE-1,ASA335,asea three thirty five regional tower you're following a company on a one mile final cleared to land runway three one right and the wind three five zero at eight,1861.15,1865.74,
ASA335,LCE-1,cleared to land three one right asea three thirty five,1866.03,1867.95,
AAL1270,LCE-1,regional tower american twelve seventy eleven miles out for three five right,1872.47,1875.69,
LCE-1,AAL537,american five thirty seven turn left at the next high speed cross runway three five left at twenty three then go to ground point six five,1875.73,1879.87,
AAL537,LCE-1,cross at twenty three american five thirty seven,1880.35,1882.23,
LCE-1,DAL179,delta one seventy nine heavy cross runway three five right cross runway three five left then go to ground point six five i've got traffic two out,1882.27,1886.82,
DAL179,LCE-1,delta's one seventy nine heavy cross three five right and three five left,1887.12,1890.34,
AAL1270,LCE-1,tower american twelve seventy ten out for the right side,1893.58,1896.17,
LCE-1,AAL1270,american twelve seventy regional tower cleared to land runway three five right wind three five zero at eight,1897.07,1901.61,
AAL1270,LCE-1,cleared to land three five right american twelve seventy,1901.84,1903.99,
LCE-1,AAL316,american three sixteen heavy regional tower runway three five left taxi into position and hold there's aircraft crossing down field,1922.66,1927.03,
AAL316,LCE-1,three sixteen heavy we'll need another couple of minutes waiting on numbers,1927.43,1930.18,
LCE-1,AAL316,american three sixteen heavy roger cancel that just pull over to the side and let me know when you're ready,1930.24,1933.35,
AAL316,LCE-1,three sixteen heavy we'll do it,1933.80,1934.84,
LCE-1,ASA402,asea four oh two turn left at the high speed and hold short of runway three five right this frequency,1940.60,1944.26,
ASA402,LCE-1,asea four oh two hold short of three five right this freq,1946.05,1948.35,
LCE-1,ASA402,asea four oh two keep it rolling cross runway three five right cross runway three five left then go to ground point six five,1978.18,1982.63,
ASA402,LCE-1,cross em both and point six five asea four oh two,1983.09,1985.85,
LCE-1,AAL442,american four forty two turn left at that high speed cross runway three five left at twenty three then go to ground point six five,1985.88,1990.69,
AAL442,LCE-1,american four forty two cleared to cross,1991.17,1992.96,
AAL1039,LCE-1,regional tower american ten thirty nine is ah eleven miles out for three five right,2040.30,2044.62,
LCE-1,AAL1039,american ten thirty nine regional tower cleared to land runway three five right the wind three five zero at eight,2044.71,2048.42,
LCE-1,AAL1039,about eight or nine miles,2053.59,2055.12,
LCE-1,ASA335,asea three thirty five turn left at the high speed and hold short of runway three five right this frequency,2062.54,2066.70,
ASA335,LCE-1,hold short with you asea three thirty five,2066.80,2068.47,
LCE-1,AAL442,american four forty two papa are you ready,2069.91,2071.87,
AAL442,LCE-1,yes sir,2072.66,2073.18,
LCE-1,AAL442,american four forty two papa taxi around the company heavy ten runway three five left taxi into position and hold one aircraft's going to cross down field,2073.27,2078.74,
AAL442,LCE-1,position and hold three five left american four forty two papa,2079.34,2081.76,
LCE-1,DAL169,ah delta one sixty nine turn left that high speed cross runway three five left on taxiway twenty three and then go to ground point six five,2081.85,2086.99,
DAL169,LCE-1,roger one delta one sixty nine cleared to cross the left,2088.56,2091.43,
LCE-1,DAL169,affirmative at twenty three left at the next high speed,2091.72,2094.26,
LCE-1,AAL442,american four forty two papa runway three five left ah depart the middle heading three six zero cleared for takeoff,2143.83,2149.03,
AAL442,LCE-1,three sixty at the middle marker ah cleared for takeoff three five left american four forty two papa,2149.72,2154.28,
LCE-1,ASA335,asea three thirty five cross runway three five right hold short of three five left,2160.73,2163.82,
ASA335,LCE-1,cross the right short of the left three thirty five,2164.51,2166.31,
LCE-1,AAL1270,american ten seventy turn left that high speed hold short of three five left taxiway twenty three this frequency,2166.62,2170.77,
AAL1270,LCE-1,american twelve seventy,2170.91,2171.76,
DAL939,LCE-1,tower delta nine thirty nine is ten out for ah the right,2175.48,2178.02,
LCE-1,DAL939,delta nine thirty nine regional tower cleared to land runway three five right and the winds three five zero at eight,2178.75,2183.14,
DAL939,LCE-1,cleared to land three five right delta nine thirty nine,2183.82,2185.84,
LCE-1,AAL1270,american twelve seventy cross runway three five left then go to ground point six five,2218.20,2221.97,
AAL1270,LCE-1,point six five on the other side american twelve seventy,2222.20,2224.41,
LCE-1,ASA335,asea three thirty five cross runway three five left then go to ground point six five good day,2224.52,2228.05,
ASA335,LCE-1,cross the left then point six five asea three thirty five good day,2228.76,2231.30,
LCE-1,AAL442,american four forty two papa contact departure good day,2231.35,2234.43,
AAL442,LCE-1,good day american four forty two papa,2234.89,2236.43,
AAL316,LCE-1,three sixteen heavy is ready to go,2237.08,2238.41,
LCE-1,AAL316,american three sixteen heavy regional tower runway three five left taxi into position and hold there is aircraft crossing down field,2238.58,2243.07,
AAL316,LCE-1,position and hold three five left american three sixteen heavy,2243.69,2246.32,
LCE-1,AAL316,american three sixteen heavy runway three five left depart the middle marker heading three six zero cleared for takeoff,2258.09,2262.34,
AAL316,LCE-1,three sixty at the middle marker cleared for takeoff three five left american ah three sixteen heavy,2262.63,2267.09,
LCE-1,DAL939,delta nine thirty nine keep your speed up the runway please,2267.59,2269.99,
DAL939,LCE-1,delta nine thirty nine,2270.46,2271.26,
CPL736,LCE-1,chaparral seven thirty six is with you for seven miles out for three five right,2273.93,2278.07,
LCE-1,CPL736,chaparral seven thirty six regional tower cleared to land runway three five right and the wind is three six zero at eight,2278.08,2282.90,
CPL736,LCE-1,we're cleared to land thank you,2283.30,2284.34,
LCE-1,AAL1039,american ten thirty nine turn left at the next high speed hold short of three five left taxiway twenty three this frequency,2315.74,2320.22,
AAL1039,LCE-1,wilco,2321.01,2321.32,
LCE-1,AAL1039,american ten thirty nine cross runway three five left then go to ground point six five good day,2340.31,2343.56,
AAL1039,LCE-1,okay understand we're cleared to cross the left ah american ah ten thirty nine thank you,2344.19,2347.77,
AAL1489,LCE-1,and american fourteen eighty nine with you ah over mandy for three one right,2358.93,2363.53,
LCE-1,AAL1489,american fourteen eighty nine regional tower cleared to land runway three one right wind three five zero at one zero,2363.56,2367.22,
AAL1489,LCE-1,cleared to land american fourteen eighty nine,2367.90,2369.59,
AAL1224,LCE-1,american twelve twenty four is eight out,2370.27,2372.56,
LCE-1,AAL1224,american twelve twenty four regional tower cleared to land runway ah three five right wind three five zero at one zero,2372.75,2377.51,
AAL1224,LCE-1,cleared to land american twelve twenty four,2378.14,2379.99,
LCE-1,AAL316,american three sixteen heavy contact departure good day,2381.98,2384.10,
AAL316,LCE-1,three sixteen heavy good day sir,2384.48,2385.60,
CPL736,LCE-1,any chance of the left for seven thirty six,2390.68,2392.99,
CPL736,LCE-1,okay i think i cut you out you want us to land on the left now,2402.92,2405.79,
LCE-1,CPL736,chaparral if you still want it affirmative change runway cleared to land three five left,2405.91,2409.52,
CPL736,LCE-1,seven thirty six cleared to land on the left thank you,2409.64,2411.79,
LCE-1,DAL939,delta nine thirty nine turn left at the next high speed hold short of three five left at taxiway twenty three this frequency,2446.12,2450.20,
DAL939,LCE-1,hold short of the left delta nine thirty nine,2450.56,2451.99,
UNK,LCE-1,is the left side available,2497.81,2499.11,
LCE-1,UNK,unable,2501.13,2501.65,
CAL287,LCE-1,this is continental ah two eighty seven is inside mandy for three one,2503.30,2506.92,
LCE-1,CAL287,continental two eighty seven regional tower you're number one cleared to land runway three one right wind three five zero at eight,2507.09,2511.06,
CAL287,LCE-1,three five zero at eight cleared to land continental ah two eighty seven,2511.53,2514.00,
LCE-1,ASA973,asea nine seventy three runway three five left taxi into position and hold caution wake turbulence you're three in trail with a heavy d c ten departed from the end,2515.82,2521.54,
ASA973,LCE-1,position and hold asea nine seventy three,2521.93,2524.01,
LCE-1,DAL939,delta nine thirty nine cross runway three five left then contact ground point six five,2524.19,2527.49,
DAL939,LCE-1,cross the left delta nine thirty nine,2527.86,2529.35,
LCE-1,CPL736,chaparral seven thirty six turn left at the first high speed give way to the bandeiranti northbound on the outer and go to ground point six five,2529.53,2535.20,
CPL736,LCE-1,seven thirty six ah left give way to the bandit and ground seven thirty six,2535.64,2539.19,
LCE-1,AAL1489,american fourteen eighty nine hold short of runway three five right this frequency,2539.29,2542.21,
AAL1489,LCE-1,hold short of three five right american fourteen eighty nine,2542.55,2544.82,
LCE-1,ASA973,asea nine seventy three runway three five left cleared for takeoff,2568.82,2571.43,
ASA973,LCE-1,cleared to go asea nine seventy three,2571.97,2573.51,
AAL251,LCE-1,tower american two fifty one heavy is with you,2595.04,2597.35,
LCE-1,AAL251,american two fifty one heavy regional tower cleared to land runway three five right wind three five zero at eight,2597.72,2601.49,
