from,to,text,time_start,time_end,comment
LCE-1,DAL1014 ,delta ten fourteen heavy regional tower taxi into position and hold runway three five left traffic will cross down field,624.39,629.00,
DAL1014,LCE-1 ,delta ten fourteen heavy position and hold thirty five left,629.13,632.16,
LCE-1,DAL1078 ,delta ten seventy eight contact departure,632.32,634.22,
DAL1078,LCE-1 ,delta ten seventy eight roger so long,635.49,637.74,
AAL990,LCE-1 ,american nine ninety is waiting for loads you want us to just hold down here in the corner,655.31,658.08,
LCE-1,AAL990 ,yeah that'll be fine,658.28,659.15,
LCE-1,AAL25 ,american twenty five heavy cross runway three five left contact ground point six five correction one three four point zero five,667.96,673.18,
AAL25,LCE-1 ,three four zero five cross three five left american twenty five heavy,673.63,676.40,
LCE-1,DAL870 ,delta eight seventy contact departure good day,683.01,684.78,
DAL870,LCE-1 ,delta eight seventy good day sir,685.04,686.04,
MTR756,LCE-1 ,tower metro seven fifty six with you for three one right,691.84,695.00,
LCE-1,MTR756 ,metro seven fifty six regional tower cleared to land runway three one right wind three four zero at six,698.88,703.84,
MTR756,LCE-1 ,cleared to land,704.13,704.71,
ASA455,LCE-1 ,regional tower asea four fifty five one three five right,727.09,731.29,
LCE-1,ASA455 ,asea four fifty five regional tower number two cleared to land runway three five right wind three four zero at seven,731.70,736.96,
ASA455,LCE-1 ,cleared to land asea four fifty five,737.31,738.67,
DAL592,LCE-1 ,tower delta five ninety two four miles visual and we'd like the left if it's available,740.12,744.70,
LCE-1,DAL592 ,delta four ninety two unable the left cleared to land on the right wind is ah three four zero at seven delta five ninety two,744.95,751.69,
DAL592,LCE-1 ,five ninety two cleared to land on the right side thanks any way,751.82,754.11,
LCE-1,ASA455 ,asea four fifty five for a radio check how do you hear,757.18,759.76,
ASA455,LCE-1 ,loud and clear asea four fifty five,760.08,761.60,
LCE-1,AAL541 ,american five forty one heavy hold short of three five left stay with me,764.82,767.72,
AAL541,LCE-1 ,hold short of three five left american five forty one heavy,768.04,770.40,
LCE-1,DAL1014 ,delta ten fourteen fly heading three six zero at the middle marker runway three five left cleared for takeoff,770.88,775.17,
DAL1014,LCE-1 ,delta ten fourteen heavy cleared for takeoff ah thirty five left three sixty at the middle marker,775.59,780.20,
LCE-1,DAL670 ,delta six seventy regional tower company seven six is rolling caution wake turbulence runway three five left taxi into position and hold traffic will cross down field,780.29,787.91,
DAL670,LCE-1 ,position and hold delta six seventy,788.04,790.23,weak transmission
AAL990,LCE-1 ,nine ninety is ready,814.49,815.38,
LCE-1,AAL990 ,american nine ninety roger ah hold short,817.99,821.51,
AAL990,LCE-1 ,nine ninety hold short,822.44,823.49,
LCE-1,AAL4 ,american four,824.15,825.77,
DAL746,LCE-1 ,eleven forty six with you for three five right,826.95,828.60,
LCE-1,AAL541 ,american five forty one cross the left contact ground one three four point zero five,828.76,832.59,
AAL541,LCE-1 ,cross thirty five left american five hundred forty one heavy,832.79,834.85,
LCE-1,DAL1146 ,delta eleven forty six regional tower cleared to land runway three five right number two wind three four zero at six,835.21,840.06,
DAL1146,LCE-1 ,cleared to land eleven forty six,840.32,841.84,
LCE-1,DAL1014 ,delta ten fourteen heavy contact departure good night,842.50,844.93,
DAL1014,LCE-1 ,delta ten fourteen heavy roger,845.26,846.85,
LCE-1,DAL592 ,delta five ninety two hold short of runway three five left stay with me,883.71,886.98,
DAL592,LCE-1 ,five ninety two hold short,887.14,888.26,
LCE-1,DAL670 ,delta six seventy fly heading three six zero at the middle marker runway three five left cleared for takeoff,889.02,893.04,
DAL670,LCE-1 ,ah three sixty at the marker we're cleared to go to delta six seventy,894.03,897.28,
LCE-1,AAL990 ,american nine ninety regional tower runway three five left taxi into position and hold,897.38,901.00,
AAL990,LCE-1 ,position and hold three five ah left american nine ninety,901.20,903.74,
LCE-1,MTR756 ,metro seven fifty six hold short of runway three five right stay with me,904.56,908.12,
MTR756,LCE-1 ,short of the right with you seven fifty six,908.26,910.23,
LCE-1,AAL990 ,american nine ninety fly heading three six zero at the middle marker runway three five left cleared for takeoff,934.94,939.03,
AAL990,LCE-1 ,three sixty at the middle marker cleared for takeoff three five left american nine ninety,939.29,942.19,
LCE-1,DAL998 ,delta nine ninety eight regional tower the ah american seven two seven's rolling runway three five left taxi into position and hold,942.42,948.19,
DAL998,LCE-1 ,nine ninety eight roger in the hold three five left,948.91,951.78,
LCE-1,DAL670 ,delta six seventy contact departure good day,954.38,956.58,
DAL670,LCE-1 ,delta six seventy good day,957.73,959.28,
LCE-1,ASA455 ,asea four fifty five hold short of runway three five left stay with me,965.18,968.38,
ASA455,LCE-1 ,short of the left with you four fifty five,968.51,970.36,weak transmission
LCE-1,AAL607 ,american six zero seven regional tower cleared to land runway three five number two wind three four zero at six,970.55,975.50,
LCE-1,MTR940 ,metro nine forty regional tower cleared to land runway three one right wind three four zero at six,982.19,986.03,
MTR940,LCE-1 ,cleared to land three one right nine forty,986.36,988.24,
LCE-1,DAL998 ,delta nine ninety eight fly heading three four five runway three five left cleared for takeoff,988.64,992.56,
DAL998,LCE-1 ,three four five ah cleared to go three five left delta nine ninety eight,992.72,996.18,
LCE-1,AAL990 ,american nine ninety contact departure good day,996.28,998.69,
AAL990,LCE-1 ,nine ninety so long,999.84,1000.70,
LCE-1,DAL850 ,delta eight fifty regional tower runway three five left taxi into position and hold,1001.36,1004.88,
DAL850,LCE-1 ,position and hold three five l delta eight fifty,1005.44,1007.88,
LCE-1,DAL850 ,delta eight fifty company seven three's northwest bound runway three five left cleared for takeoff fly heading three six zero at the middle marker,1033.48,1039.41,
DAL850,LCE-1 ,is that for delta eight fifty,1040.73,1041.95,
LCE-1,DAL850 ,affirmative fly heading three six zero at the middle marker runway three five left cleared for takeoff,1042.08,1045.84,
DAL850,LCE-1 ,three six zero cleared for takeoff delta eight fifty,1046.20,1048.66,
LCE-1,DAL386 ,delta three eighty six regional tower company seven five's rolling runway three five left taxi into position and hold,1048.83,1053.64,
DAL386,LCE-1 ,position and hold three five left delta three eighty six,1054.20,1056.77,
LCE-1,DAL1146 ,delta eleven forty six turn left hold short of runway three five left stay with me traffic crossing down field,1061.68,1066.46,
DAL1146,LCE-1 ,hold short eleven forty six,1066.82,1068.11,
LCE-1,MTR756 ,metro seven fifty six cross runway three five right hold short of the left,1068.30,1071.67,
MTR756,LCE-1 ,cross right hold short of the left metro seven fifty six,1072.03,1074.17,
LCE-1,DAL998 ,delta nine ninety eight contact departure heading three four five good day,1074.37,1077.72,
DAL998,LCE-1 ,delta nine nine eight good day,1077.91,1079.17,
AAL389,LCE-1 ,american three eighty nine heavy is with you at ten out three five right,1081.57,1084.97,
LCE-1,AAL389 ,american three eighty nine heavy regional tower number three cleared to land runway three five right wind three five zero at seven,1085.17,1090.11,
AAL389,LCE-1 ,cleared to land three five right american three eighty nine heavy,1090.34,1092.85,
LCE-1,DAL386 ,delta three eighty six fly heading three six zero at the middle marker runway three five left cleared for takeoff,1093.01,1097.23,
DAL386,LCE-1 ,cleared for takeoff three five left delta three eighty six,1097.49,1100.16,
LCE-1,DAL850 ,delta eight fifty contact departure good day,1100.43,1102.40,
DAL850,LCE-1 ,eight fifty to departure,1102.70,1104.02,
LCE-1,USA1037 ,usa1037 u s air ten thirty seven regional tower runway three five left taxi into position and hold traffic will cross down field,1104.31,1109.44,
USA1037,LCE-1 ,all right position and hold for u s air ten thirty seven,1109.58,1112.01,
LCE-1,USA1037 ,that is correct,1112.11,1112.97,
AAL215,LCE-1 ,tower american two one five is four miles out for three five right,1115.47,1119.86,
LCE-1,AAL215 ,american two fifteen regional tower follow traffic on short final cleared to land runway three five right wind three five zero at eight,1120.09,1126.15,
LCE-1,ASA455 ,and asea four fifty five at twenty seven cross runway three five left contact arrival ground one three four point zero five,1139.62,1145.22,
ASA455,LCE-1 ,cross thirty four point oh five asea four fifty five,1145.42,1147.66,
DAL596,LCE-1 ,delta five ninety two,1155.94,1156.79,
DAL1146,LCE-1 ,eleven forty six,1157.72,1158.80,
MTR756,LCE-1 ,say the frequency again please,1160.42,1161.83,
LCE-1,MTR756 ,one three four point zero five for ground control,1162.46,1165.00,
LCE-1,DAL386 ,delta three eighty six contact departure good day,1166.25,1168.45,
DAL386,LCE-1 ,go to departure delta three eighty six,1171.05,1172.67,
MTR724,LCE-1 ,ah regional ah tower metro seven twenty four is with you vandy inbound,1177.97,1182.92,
LCE-1,MTR724 ,metro seven twenty four regional tower cleared to land runway three one right wind three six zero at eight,1183.18,1187.13,
MTR724,LCE-1 ,seven twenty four,1187.73,1188.68,
LCE-1,AAL607 ,american six zero seven turn left that high speed then northbound on lima to twenty one hold short of runway three five ah left at twenty one please,1189.14,1196.92,
AAL607,LCE-1 ,lima to twenty one and we'll hold short american six oh seven,1197.05,1199.81,
LCE-1,AAL607 ,thank you,1199.91,1200.50,
AAL567,LCE-1 ,american five sixty seven ten out,1201.00,1202.81,
LCE-1,AAL567 ,american five sixty seven regional tower caution wake turbulence from arriving heavy boeing seven six seven cleared to land runway three five right number three wind three six zero at eight,1202.94,1210.19,
AAL567,LCE-1 ,five sixty seven,1210.52,1211.94,weak transmission
LCE-1,MTR940 ,metro nine forty left when able hold short of runway three five right stay with me,1219.55,1223.41,
LCE-1,USA1037 ,usa1037 u s air ten thirty seven runway three five left fly heading three six zero at the middle marker cleared for takeoff,1228.42,1232.92,
USA1037,LCE-1 ,three sixty at the middle marker cleared to go ten thirty seven,1233.35,1235.58,
DAL338,LCE-1 ,delta three thirty eight regional tower u s air is rolling runway three five left taxi into position and hold,1235.78,1240.20,
DAL338,LCE-1 ,delta three thirty eight position and hold behind u s air,1240.63,1243.54,
LCE-1,MTR940 ,metro nine forty hold short of runway three five right stay with me,1243.70,1246.98,
MTR940,LCE-1 ,nine forty will do,1247.21,1249.02,
MTR878,LCE-1 ,tower metro eight seventy eight with you eight out for three one right,1249.18,1251.76,
LCE-1,MTR878 ,metro eight seventy eight regional tower number two cleared to land runway three one right wind heading three five zero at seven,1251.96,1256.70,
MTR878,LCE-1 ,cleared to land three five three one right metro eight seventy eight,1257.14,1259.98,weak transmission
LCE-1,AAL215 ,american two fifteen turn left hold short of runway three five l stay with me,1261.78,1265.39,
AAL215,LCE-1 ,two fifteen,1266.09,1267.30,
LCE-1,DAL338 ,delta three thirty eight fly heading three six zero at the middle marker runway three five left cleared for takeoff,1282.57,1286.78,
DAL338,LCE-1 ,delta three thirty eight three six zero heading cleared for takeoff three five left,1287.38,1290.42,
LCE-1,DAL588 ,delta five eighty eight regional tower runway three five left taxi into position and hold,1290.79,1294.23,
DAL588,LCE-1 ,delta five eighty eight on and hold three five left,1294.40,1296.77,
LCE-1,USA1037 ,usa1037 u s air ten thirty seven contact departure good day,1296.94,1299.27,
USA1037,LCE-1 ,good day ten thirty seven,1299.78,1301.01,
AAL163,LCE-1 ,d f w tower american one sixty three we're ten out for three five right,1318.25,1321.93,
LCE-1,DAL588 ,delta five eighty eight fly heading three six zero at the middle marker runway three five left cleared for takeoff,1322.06,1325.97,
DAL588,LCE-1 ,understand delta five eighty eight cleared to go three five left three six zero on the heading,1327.28,1330.79,
LCE-1,DAL588 ,that is correct,1330.92,1331.69,
LCE-1,AAL163 ,american one sixty three regional tower number two cleared to land runway three five r wind three five zero at seven,1331.75,1336.60,
AAL163,LCE-1 ,cleared to land three five right american one sixty three,1337.64,1340.04,weak transmission
LCE-1,AAL389 ,american three eighty nine heavy turn left hold short of runway three five left stay with me,1340.21,1343.99,
AAL389,LCE-1 ,short of three five left american three eighty nine heavy,1344.49,1346.86,
LCE-1,MTR940 ,metro nine forty cross runway three five right hold short of the left,1347.46,1350.57,
MTR940,LCE-1 ,cross the right short of the left nine forty,1350.77,1352.81,
LCE-1,DAL338 ,delta three thirty eight contact departure good day,1353.07,1355.61,
DAL338,LCE-1 ,so long,1360.06,1360.69,
LCE-1,EAL598 ,eastern five ninety eight regional tower runway three five left taxi into position and hold,1368.68,1372.69,
EAL598,LCE-1 ,position and hold eastern five ninety eight,1372.89,1374.49,
AAL865,LCE-1 ,american eight sixty five tuffo inbound,1375.26,1377.33,
LCE-1,AAL865 ,american eight sixty five regional tower number three cleared to land runway three five right wind three five zero at six,1377.40,1382.28,
AAL865,LCE-1 ,cleared to land eight sixty five,1382.78,1384.52,
LCE-1,EAL598 ,eastern five ninety eight fly heading three six zero at the middle marker runway three five left cleared for takeoff,1390.43,1395.41,
EAL598,LCE-1 ,three six zero at the marker cleared for takeoff eastern five ninety eight,1395.88,1398.79,
LCE-1,DAL26 ,delta twenty six heavy regional tower eastern's rolling runway three five left taxi into position and hold,1398.95,1403.73,
DAL26,LCE-1 ,position and hold three five left delta twenty six heavy,1404.03,1406.34,
LCE-1,DAL588 ,delta five eighty eight contact departure good night,1407.24,1409.35,
DAL588,LCE-1 ,delta five eighty eight going to departure good night,1409.85,1411.55,
FDX35,LCE-1 ,tower express thirty five heavy is with you about ten out for three one right,1416.87,1420.88,
LCE-1,FDX35 ,express thirty five heavy regional tower cleared to land runway three one right wind three six zero at seven,1421.18,1425.42,
FDX35,LCE-1 ,cleared to land three one right express thirty five heavy,1425.79,1428.13,
LCE-1,MTR724 ,metro seven twenty four hold short of runway three five right stay with me,1428.19,1431.60,
MTR724,LCE-1 ,we'll do it seven twenty four,1431.84,1433.51,
AAL1393,LCE-1 ,american thirteen ninety three inbound three five right,1436.38,1439.05,weak transmission
LCE-1,AAL1393 ,american thirteen ninety three regional tower number three now cleared to land runway three five right wind three six zero at seven,1439.12,1445.44,
AAL1393,LCE-1 ,cleared to land three five right american thirteen ninety three,1446.07,1448.81,weak transmission
LCE-1,DAL26 ,delta twenty six heavy runway three five left fly heading three six zero at the middle marker cleared for takeoff,1466.99,1471.20,
DAL26,LCE-1 ,three sixty at the marker cleared to go three five left delta twenty six heavy,1471.37,1474.94,
LCE-1,AAL567 ,american five sixty seven turn left hold short of runway three five left stay with me,1475.08,1479.12,
AAL567,LCE-1 ,american five sixty seven,1479.32,1480.66,
LCE-1,DAL660 ,delta six sixty regional tower runway three five left taxi into position and hold caution wake turbulence departing heavy tristar traffic will cross down field,1480.72,1487.81,
DAL660,LCE-1 ,into position and hold delta six sixty,1488.04,1490.38,
LCE-1,EAL598 ,eastern five eighty eight contact departure good night five five ninety eight,1490.58,1494.39,
EAL598,LCE-1 ,going to departure eastern five ninety eight so long,1495.06,1497.26,
AAL1263,LCE-1 ,hello tower american twelve sixty three thirteen out for three five right,1518.58,1521.62,weak transmission
LCE-1,AAL1263 ,american twelve sixty three number four cleared to land runway three five right wind zero one zero at eight,1521.79,1526.00,
AAL1263,LCE-1 ,cleared to land thank you,1526.30,1527.40,
MTR940,LCE-1 ,nine forty,1537.01,1537.91,
AAL215,LCE-1 ,american two fifteen roger,1548.55,1549.78,
AAL607,LCE-1 ,six oh seven,1549.88,1550.78,
AAL389,LCE-1 ,american three eighty nine heavy roger,1550.88,1552.42,
LCE-1,AAL567 ,american five sixty seven cross runway three five left contact arrival ground one three four point zero five,1552.52,1558.15,
AAL567,LCE-1 ,thirty four zero five american five sixty seven,1558.31,1560.18,
LCE-1,DAL26 ,delta twenty six heavy contact departure good night,1561.25,1563.48,
DAL26,LCE-1 ,good day sir,1563.75,1564.35,
LCE-1,AAL163 ,american one sixty three left when able traffic will cross down field hold short of the left stay with me,1571.52,1575.95,
AAL163,LCE-1 ,one sixty three roger,1576.15,1577.49,
LCE-1,MTR724 ,metro seven twenty four expedite cross the right hold short of the left,1577.85,1580.79,
MTR714,LCE-1 ,seven twenty four we'll do it,1581.52,1582.92,
LCE-1,MTR878 ,metro eight seventy eight ah hold short of runway three five right stay with me,1584.19,1588.19,
MTR878,LCE-1 ,we'll hold short with you metro eight seventy eight,1588.32,1590.19,weak transmission
LCE-1,AAL163 ,american one sixty three when you exit on the high speed go north to twenty one hold short of three five left at twenty one okay,1592.22,1598.72,
AAL163,LCE-1 ,one sixty three roger,1598.99,1600.16,
LCE-1,MTR724 ,metro seven twenty four cross runway three five left contact ground thirty four oh five,1609.63,1614.40,
MTR724,LCE-1 ,seven twenty four we'll do it,1614.63,1616.23,
LCE-1,AAL567 ,american three eighty nine er correction american ah five sixty seven traffic you see on the runway is ah waiting for you to cross the left ground thirty four oh five,1616.50,1624.70,
AAL567,LCE-1 ,american five sixty seven,1624.80,1625.97,
DAL815,LCE-1 ,delta eight fifteen heavy is with you at three thousand on the approach for three one right,1639.41,1646.24,weak transmission
LCE-1,DAL815 ,delta eight fifteen heavy regional tower cleared to land runway three five three one right wind zero one zero at eight,1657.71,1662.34,
DAL815,LCE-1 ,cleared to land three one right delta's ah eight fifteen heavy,1662.71,1666.04,
LCE-1,FDX35 ,express thirty five heavy roll on out to the end turn right taxi to the ramp on this frequency,1667.85,1672.18,
FDX35,LCE-1 ,express thirty five heavy we'll do all that,1672.41,1674.25,
LCE-1,AAL865 ,american eight sixty five turn left northbound on lima to twenty one hold short of runway three five left stay with me,1678.62,1683.91,
AAL865,LCE-1 ,american eight sixty five we'll turn left and hold short of the left on twenty one,1684.25,1687.38,
LCE-1,DAL660 ,delta six sixty fly heading three six zero at the middle marker runway three five left cleared for takeoff,1693.65,1697.65,
DAL660,LCE-1 ,cleared for takeoff three six zero at the marker delta six sixty,1697.85,1700.89,weak transmission
AAL251,LCE-1 ,ah regional tower american two fifty one heavy on the approach for three five right,1703.39,1707.99,
LCE-1,AAL251 ,american two fifty one heavy regional tower cleared to land runway three five right wind zero one zero at eight,1708.06,1712.92,
AAL251,LCE-1 ,wind zero one zero at eight and cleared to land three five right american two fifty one heavy,1715.02,1719.29,
LCE-1,AAL251 ,that is correct,1719.39,1720.36,
LCE-1,AAL318 ,american three eighteen regional tower runway three five left taxi into position and hold,1721.19,1724.89,
AAL318,LCE-1 ,position and hold american three eighteen,1725.46,1728.63,
LCE-1,AAL1393 ,american thirteen ninety three turn left hold short of runway three five left stay with me,1746.73,1750.33,
AAL1393,LCE-1 ,hold short of the left american thirteen ninety three,1751.00,1753.13,
LCE-1,MTR878 ,metro eight seventy eight cross runway three five right hold short of the left,1753.63,1756.74,
MTR878,LCE-1 ,cross right hold short of the left metro eight seventy eight,1758.07,1759.94,
MTR878,LCE-1 ,metro eight seventy eight,1769.24,1770.34,
AAL163,LCE-1 ,one sixty three cleared to cross,1771.07,1772.27,
AAL865,LCE-1 ,eight sixty five american,1772.67,1773.70,
LCE-1,AAL1393 ,american thirteen ninety three cross runway three five left contact arrival ground one three four point zero five traffic in the hold to wait for you,1774.20,1780.34,
AAL1393,LCE-1 ,cross three five left american thirteen ninety three good day,1780.97,1783.44,
LCE-1,AAL1393 ,good day,1783.71,1784.01,
LCE-1,DAL660 ,delta six sixty contact departure good day,1784.08,1786.08,
DAL660,LCE-1 ,six sixty good day,1786.14,1787.34,
AAL385,LCE-1 ,tower american three eighty five vandy for three one right,1788.91,1791.51,
LCE-1,AAL385 ,american three eighty five regional tower caution wake turbulence arriving heavy boeing seven six seven cleared to land runway three one right wind zero one zero at six,1791.65,1798.75,
AAL385,LCE-1 ,cleared to land ah three one right american three eighty five,1799.25,1801.61,
LCE-1,MTR885 ,metro eight eighty five,1802.68,1804.01,
MTR885,LCE-1 ,go ahead,1804.98,1805.81,
LCE-1,MTR885 ,yeah company wants you to come back ah we'll figure out a way to do it here in just a minute hang on,1806.31,1811.85,
MTR895,LCE-1 ,cross the left short of the right metro eight ninety five,1818.85,1821.25,
MTR885,LCE-1 ,eight eighty five hold short that's what i'm trying to say,1827.46,1829.42,
LCE-1,MTR885 ,yeah eight eighty five hold short company wants to you to come back to the ramp for some reason we'll try to figure out some way to do it tell you what why don't you make a left turn on the runway and go down to taxiway first high speed and make a left turn then ground point six five,1829.64,1841.55,
MTR885,LCE-1 ,all right left turn and then down to the first high speed then point six five,1841.81,1845.15,
LCE-1,MTR885 ,that's correct traffic in the hold to wait for you,1845.35,1847.40,
MTR885,LCE-1 ,thank you,1847.57,1848.27,
